"phase","cycle","order_seed","order_position","implementation","started_utc","completed_utc","duration_ms","peak_working_set_bytes","active_case_count","large_case_count","cohort","exit_code"
"measured","45","1045","2","nlohmann-2.0.0","2026-09-03T13:36:43.6780332Z","2026-09-03T13:36:45.1082339Z","1430.201","40222720","13","0","standard-only","0"
"measured","46","1046","1","nlohmann-2.0.0","2026-09-03T13:36:45.6152549Z","2026-09-03T13:36:47.0445837Z","1429.329","42946560","13","0","standard-only","0"
"measured","46","1046","2","rapidjson-1.9.5","2026-09-03T13:36:47.5612882Z","2026-09-03T13:36:48.8148445Z","1253.556","42491904","13","0","standard-only","0"
"measured","47","1047","1","rapidjson-1.9.5","2026-09-03T13:36:49.3375418Z","2026-09-03T13:36:51.2050442Z","1867.502","42389504","13","0","standard-only","0"
"measured","47","1047","2","nlohmann-2.0.0","2026-09-03T13:36:51.8081556Z","2026-09-03T13:36:53.2988120Z","1490.656","42913792","13","0","standard-only","0"
"measured","48","1048","1","nlohmann-2.0.0","2026-09-03T13:36:53.7863694Z","2026-09-03T13:36:55.2229760Z","1436.607","42827776","13","0","standard-only","0"
"measured","48","1048","2","rapidjson-1.9.5","2026-09-03T13:36:55.7581899Z","2026-09-03T13:36:57.1324630Z","1374.273","43384832","13","0","standard-only","0"
"measured","49","1049","1","rapidjson-1.9.5","2026-09-03T13:36:57.6683353Z","2026-09-03T13:36:58.9078243Z","1239.489","42516480","13","0","standard-only","0"
"measured","49","1049","2","nlohmann-2.0.0","2026-09-03T13:36:59.4047110Z","2026-09-03T13:37:00.8389379Z","1434.227","42938368","13","0","standard-only","0"
"measured","50","1050","1","nlohmann-2.0.0","2026-09-03T13:37:01.3389191Z","2026-09-03T13:37:02.8281020Z","1489.183","42831872","13","0","standard-only","0"
"measured","50","1050","2","rapidjson-1.9.5","2026-09-03T13:37:03.3415392Z","2026-09-03T13:37:04.5683618Z","1226.823","42389504","13","0","standard-only","0"
"measured","51","1051","1","rapidjson-1.9.5","2026-09-03T13:37:05.0705550Z","2026-09-03T13:37:06.3250880Z","1254.533","42336256","13","0","standard-only","0"
"measured","51","1051","2","nlohmann-2.0.0","2026-09-03T13:37:06.8315136Z","2026-09-03T13:37:08.2797433Z","1448.23","42729472","13","0","standard-only","0"
